intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
6504000,0.0024173568002283556,0.9736526946107784,0.0024173568002283556,0.005300290128538514,24.593173431734318,21.0,166.33482564255942,/home/mttran1/mttran1/gtdb-rs214-reps.k31.zip,"GCF_902859645.1 Achromobacter insuavis strain=LMG 26845, LMG 26845",edf20574391d58e707b81b398622ccc7,0.9736526946107784,6504000,0,355015000,-,SRR13201271,e3797f4b,2690542000,31,DNA,1000,2690542,True,0.823363550535389,0.9991390606500677,0.9112513055927284,0.9991390606500677,False,159954,159954,30178348
5352000,0.001989190282106728,0.8406412069778406,0.001988075265132453,0.016451762038134095,92.81865769302674,92.0,24.447142144089515,/home/mttran1/mttran1/gtdb-rs214-reps.k31.zip,"GCF_001457615.1 Pseudomonas aeruginosa strain=NCTC10332, NCTC10332",bb217474c348bbe1c7ce2dad76cea683,0.8411126826968411,5349000,1,349666000,-,SRR13201271,e3797f4b,2690542000,31,DNA,1000,2690542,True,0.818201981145135,0.994433946859064,0.9063179640020995,0.994433946859064,False,496487,656441,30178348
5067000,0.0018832636695505962,0.9139299891735836,0.0018825203249010795,0.003023790434121841,18.01638696939783,9.0,63.81068625343687,/home/mttran1/mttran1/gtdb-rs214-reps.k31.zip,"GCA_021805955.1 Acidobacteria bacterium, ASM2180595v1",4bf18e0665862f8727e994530bd5b01d,0.9142908697221219,5065000,2,344601000,-,SRR13201271,e3797f4b,2690542000,31,DNA,1000,2690542,True,0.8167589598159963,0.9971136406664638,0.9069363002412301,0.9971136406664638,False,91253,747694,30178348
4676000,0.0017379397905700783,0.9997861420017109,0.00173756811824532,0.01905704049804184,123.01818181818182,119.0,50.04255184964788,/home/mttran1/mttran1/gtdb-rs214-reps.k31.zip,"GCA_021805865.1 Proteobacteria bacterium, ASM2180586v1",1b024e28c94845054db802660b8cdffa,1.0,4675000,3,339926000,-,SRR13201271,e3797f4b,2690542000,31,DNA,1000,2690542,True,0.8146458738121213,1.0,0.9073229369060607,1.0,False,575110,1322804,30178348
4644000,0.001726046276177811,0.9997847147470398,0.001726046276177811,0.002282895008036888,14.835055986218777,14.0,7.393365581823692,/home/mttran1/mttran1/gtdb-rs214-reps.k31.zip,"GCA_021805985.1 Planctomycetes bacterium, ASM2180598v1",ce116a944417fcad940f63596714694c,0.9997847147470398,4644000,4,335282000,-,SRR13201271,e3797f4b,2690542000,31,DNA,1000,2690542,True,0.8144654371286314,0.9999930545908886,0.90722924585976,0.9999930545908886,False,68894,1391698,30178348
4632000,0.0017215862082807108,0.901761252446184,0.0017126660724865101,0.004281712173244208,28.04144965277778,5.0,53.47602794629006,/home/mttran1/mttran1/gtdb-rs214-reps.k31.zip,"GCA_021805275.1 Proteobacteria bacterium, ASM2180527v1",135282d532b16ba5b0dc22b5f3cb37ed,0.9064579256360078,4608000,5,330674000,-,SRR13201271,e3797f4b,2690542000,31,DNA,1000,2690542,True,0.8143974630098708,0.9968369271551718,0.9056171950825214,0.9968369271551718,False,129215,1520913,30178348
4584000,0.0017037459366923097,0.8464272353161242,0.0016818172695315665,0.008651036829451366,57.69591160220995,60.0,42.32515434664502,/home/mttran1/mttran1/gtdb-rs214-reps.k31.zip,"GCA_021808195.1 Proteobacteria bacterium, ASM2180819v1",fdb54827d3f71267a7211007dd02b43d,0.8574635241301908,4525000,6,326149000,-,SRR13201271,e3797f4b,2690542000,31,DNA,1000,2690542,True,0.814123851446554,0.9950517464240582,0.9045877989353062,0.9950517464240582,False,261074,1781987,30178348
4297000,0.0015970759794866612,0.9204899777282851,0.0015361217182262904,0.004418300166728809,32.2615533510767,33.0,12.891498114868323,/home/mttran1/mttran1/gtdb-rs214-reps.k31.zip,"GCA_021810145.1 Planctomycetes bacterium, ASM2181014v1",08903ab411eed7f263218281ce71eb89,0.9570155902004455,4133000,7,322016000,-,SRR13201271,e3797f4b,2690542000,31,DNA,1000,2690542,True,0.8124276507156932,0.9985837265418636,0.9055056886287784,0.9985837265418636,False,133337,1915324,30178348
4066000,0.0015112196724674806,0.9995082370297517,0.0015108480001427222,0.0038446107122894865,28.542189421894218,28.0,13.13095189959424,/home/mttran1/mttran1/gtdb-rs214-reps.k31.zip,"GCA_021806005.1 Acidobacteria bacterium, ASM2180600v1",f263be7a0847b53978034d2fe113d9e1,0.9997541185148758,4065000,8,317951000,-,SRR13201271,e3797f4b,2690542000,31,DNA,1000,2690542,True,0.8109807912159757,0.9999920673953687,0.9054864293056721,0.9999920673953687,False,116024,2031348,30178348
3930000,0.001460672236300344,0.8359225367099383,0.0014599288916508273,0.0010856127711165635,8.340631364562118,8.0,6.242556366453103,/home/mttran1/mttran1/gtdb-rs214-reps.k31.zip,"GCA_021792855.1 Actinomycetia bacterium, ASM2179285v1",dd0101994f0d4266bf712cc33c27cfac,0.8363481591828048,3928000,9,314023000,-,SRR13201271,e3797f4b,2690542000,31,DNA,1000,2690542,True,0.8100912858040087,0.9942517366510941,0.9021715112275515,0.9942517366510941,False,32762,2064110,30178348
